id z_hel z_cmb dz m dm
17389 0.1708990037 0.169599995 2.499999937e-05 20.46515 0.1317
17464 0.2469960004 0.2455500066 0.0 20.7198 0.14705
17497 0.1448356956 0.1439232081 2.700000005e-05 19.81665 0.10485
17552 0.2532899976 0.251910001 4.099999933e-05 21.2338 0.1462
17784 0.03709515184 0.03714794293 1.499999962e-05 16.7708 0.1166
17791 0.2790000141 0.27748999 0.0 21.8807 0.2055
17809 0.2889539897 0.2874599993 3.600000127e-05 21.2668 0.1491
17811 0.1999990046 0.1986699998 0.0005000000237 20.61015 0.13895
17825 0.1609919965 0.1599899977 0.004999999888 20.07605 0.129
17875 0.2119970024 0.2107499987 0.0005000000237 21.0136 0.15075
17884 0.2389210016 0.2377499938 2.999999924e-05 21.0147 0.1316
18030 0.1565220058 0.1551699936 2.300000051e-05 20.14265 0.11795
18241 0.09499800205 0.09384600073 0.009999999776 18.94955 0.14945
18323 0.154073 0.1527100056 1.800000064e-05 20.08555 0.11355
18325 0.2586599886 0.25722 3.300000026e-05 21.2741 0.1446
18466 0.2129939944 0.212259993 0.004999999888 20.80065 0.1303
18486 0.2459930032 0.2453999966 0.0006000000285 20.88445 0.13085
18602 0.1383484006 0.1369705647 2.300000051e-05 19.76485 0.11075
18617 0.3273159862 0.3256900012 5.400000009e-05 21.9051 0.1809
18697 0.1076550037 0.1064128578 1.800000064e-05 19.09035 0.10245
18721 0.4029270113 0.4012700021 0.0 22.30585 0.1602
18749 0.1906370074 0.1893099993 3.300000026e-05 20.4864 0.13035
18804 0.1984249949 0.1972600073 0.0005000000237 20.4352 0.1122
18809 0.1321855038 0.131553039 3.700000161e-05 19.5616 0.132
18835 0.1231857985 0.1226198971 3.500000093e-05 19.44025 0.1033
18855 0.1278315037 0.1271549016 1.400000019e-05 19.59325 0.10365
18927 0.2139990032 0.2132299989 0.0005000000237 20.67635 0.1429
18940 0.2123630047 0.2109899968 4.500000068e-05 20.727 0.12695
18945 0.2699959874 0.2685599923 1.899999916e-05 21.4883 0.15275
18965 0.2058639973 0.2045300007 0.0005000000237 20.66435 0.12435
19002 0.2709980011 0.2700999975 4.999999874e-05 21.2859 0.12695
19023 0.2430009991 0.2418500036 0.004999999888 20.98075 0.15175
19027 0.2926340103 0.2911399901 1.499999962e-05 21.236 0.14645
19067 0.354997009 0.3534600139 0.0 21.81675 0.1515
19128 0.2869929969 0.2854300141 0.0 21.60225 0.15435
19230 0.220994994 0.2195499986 0.0005000000237 20.6719 0.1534
19282 0.1769919991 0.1755799949 0.0001999999949 20.24765 0.1249
19341 0.236759007 0.2354200035 4.999999874e-05 20.9929 0.1458
